Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Sawah Besar,5,mantab,2
Bank Mandiri KCP Jakarta Sawah Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sawah Besar,5,pelayanan baik dan helpful,2
Bank Mandiri KCP Jakarta Sawah Besar,5,"satpamnya ramah, baik, sopan.",2
Bank Mandiri KCP Jakarta Sawah Besar,5,sangat membantu,2
Bank Mandiri KCP Jakarta Sawah Besar,5,sangat puas dengan pelayanan yang diberikan.,2
Bank Mandiri KCP Jakarta Sawah Besar,5,cs nya sangat ramah dan membantu sekali,2
