Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Casablanca,5,"satpam nya multi task, sangat membantu sebsgsi front desk customer satisfaction. mengerti perbankan dan information tevhnology such as livin etc. hebat managemen nya, tempat nya juga strategis, aman dan nyaman dan terbentang fasilitas mesin atm tunai, setor dan juga gsnti kartu.bravo bank mandiri.sukses selalu.",2
Bank Mandiri KCP Jakarta Casablanca,5,good,2
Bank Mandiri KCP Jakarta Casablanca,1,super sangat lama pelayanannya - mohon maaf ya,0
Bank Mandiri KCP Jakarta Casablanca,5,pelayanan bank mandiri casablanca enggak kaleng2. thankyou,2
Bank Mandiri KCP Jakarta Casablanca,5,selalu memberikan pelayanan yang prima,2
Bank Mandiri KCP Jakarta Casablanca,5,sangat puas dengan pelayanan yang diberikan.,2
