Place Name,Star Rating,Review Content,Sentiment
Bank Mandiri KCP Jakarta Kebon Jati,5,"staf satpam maupun semuanya ramah, selalu anggotaikan arahan",2
Bank Mandiri KCP Jakarta Kebon Jati,5,ok,2
Bank Mandiri KCP Jakarta Kebon Jati,5,pelayanan ramah dan baik,2
Bank Mandiri KCP Jakarta Kebon Jati,5,kepala cabangnya baik dan raham,2
Bank Mandiri KCP Jakarta Kebon Jati,5,full support dan fast respond .. sukses selalu,2
Bank Mandiri KCP Jakarta Kebon Jati,5,pelayanannya ramah dan baik,2
Bank Mandiri KCP Jakarta Kebon Jati,5,demi keamanan.,2
Bank Mandiri KCP Jakarta Kebon Jati,5,orang nya ramah ramah sekali,2
Bank Mandiri KCP Jakarta Kebon Jati,5,sangat baik,2
